"X","participant_id","exp_trial_type","block_n","trial_n","trial_index","time_elapsed","partner_id","object","label","object_choices","object_selected","score","rt","condition","pair_id","key_feature","predicted"
199,"p001","director",5,199,737,3077578,"p093","sad","circle","","",NA,1890.40000000037,"fixed_associations","p001-p093","sad",0
209,"p002","director",1,9,67,435621,"p050","circle_yellow","circle","","",NA,2672.39999985695,"random_associations","p002-p050","yellow",NA
211,"p002","director",1,11,74,452351,"p050","diamond_yellow","diamond","","",NA,1449.5,"random_associations","p002-p050","yellow",NA
213,"p002","director",1,13,81,467533,"p050","cross_grey","cross","","",NA,1319.69999980927,"random_associations","p002-p050","grey",NA
215,"p002","director",1,15,88,482562,"p050","pentagon_pink","pentagon","","",NA,1571.39999985695,"random_associations","p002-p050","pink",NA
217,"p002","director",1,17,95,497158,"p050","diamond_grey","diamond","","",NA,1706.59999990463,"random_associations","p002-p050","grey",NA
219,"p002","director",1,19,102,511431,"p050","pentagon_pink","pentagon","","",NA,1134.79999995232,"random_associations","p002-p050","pink",NA
221,"p002","director",1,21,109,525363,"p050","cross_pink","cross","","",NA,1815.29999995232,"random_associations","p002-p050","pink",NA
223,"p002","director",1,23,116,538841,"p050","circle_yellow","circle","","",NA,1280,"random_associations","p002-p050","yellow",NA
225,"p002","director",1,25,123,553085,"p050","circle_red","circle","","",NA,1386.20000004768,"random_associations","p002-p050","red",NA
227,"p002","director",1,27,130,567043,"p050","cross_yellow","cross","","",NA,1734.89999985695,"random_associations","p002-p050","yellow",NA
229,"p002","director",1,29,137,581202,"p050","pentagon_grey","pentagon","","",NA,1955.30000019073,"random_associations","p002-p050","grey",NA
231,"p002","director",1,31,144,594813,"p050","diamond_grey","diamond","","",NA,1703.20000004768,"random_associations","p002-p050","grey",NA
233,"p002","director",1,33,151,607993,"p050","circle_yellow","circle","","",NA,1488.59999990463,"random_associations","p002-p050","yellow",NA
235,"p002","director",1,35,158,621159,"p050","pentagon_pink","pentagon","","",NA,1307.79999995232,"random_associations","p002-p050","pink",NA
